"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"7c0af1c5-7065-4f6f-affe-fc579da1cb4d","217694","winter","1:30:00 PM","2:20:00 PM","False","False","True","False","False","STLC 111","kaplanj","Jerry Kaplan","[""kaplanj""]"
"0fd67c32-85dc-4e13-a7e3-fb53735973b2","140838","fall","1:30:00 PM","2:50:00 PM","False","False","False","False","True","Bishop Auditorium","jiajunw","Jiajun Wu","[""icard"", ""bkrejci"", ""jiajunw"", ""fkramer"", ""cxluo"", ""rnpark"", ""davyn"", ""ewisner"", ""angezhao"", ""dadib"", ""ksmon"", ""cagraham"", ""shreyaa"", ""tdschout""]"
"81aaa55a-3720-446a-bc80-5373781064fa","140838","winter","1:30:00 PM","2:50:00 PM","False","False","False","False","True","STLC 111","ngoodman","Noah Goodman","[""bkrejci"", ""ngoodman""]"
"0df35c6d-b2da-4c20-8b78-21ea1aa33fc3","217902","spring","3:00:00 PM","4:20:00 PM","False","True","False","False","False","370-370","poohbear","Jerry Cain","[""poohbear"", ""psarin"", ""tarabeth""]"
"394c6a1e-4667-47c2-9810-860bbb9f4cd1","220011","fall","3:00:00 PM","4:20:00 PM","False","True","False","True","False","McMurtry Art Building Oshman","landay","James Landay","[""landay""]"
"656afb32-874b-462c-94cb-fdddc75dad9d","220011","winter","2:30:00 PM","4:20:00 PM","False","False","False","False","True","200-030","landay","James Landay","[""landay""]"
"87f98f17-696f-4ded-a0dd-d80cfa0eae24","224443","fall","4:30:00 PM","5:20:00 PM","False","False","True","False","True","380-380W","itullis","Ian Tullis","[""itullis""]"
"ec833dff-7748-41d6-987b-8fec38dcc5d2","208532","fall","3:00:00 PM","4:20:00 PM","True","False","True","False","True","Hewlett Teaching Center 200","htiek","Keith Schwarz","[""htiek"", ""cggao"", ""grantmcc"", ""lorirr"", ""zhengl"", ""golrokh"", ""ophirh10"", ""prsriram"", ""jech"", ""xl99"", ""wzhai702"", ""akdash"", ""waxia""]"
"edbb04c9-0484-4587-9dbf-fe4d677804d0","208532","winter","3:00:00 PM","4:20:00 PM","True","False","True","False","True","Bishop Auditorium","cbl","Cynthia Lee","[""cbl"", ""cggao"", ""grantmcc"", ""lorirr"", ""ophirh10"", ""jech"", ""ragashe"", ""nshaheed"", ""xl99"", ""yechen9"", ""yipengl"", ""rqwang"", ""yurensun"", ""chihjung"", ""wzhai702"", ""waxia"", ""xs15""]"
"bc310726-67ad-4b7e-a90c-c96fdad2bce3","208532","spring","3:00:00 PM","4:20:00 PM","True","False","True","False","True","Bishop Auditorium","chihjung","Tracy Chang","[""aaiken"", ""cbl"", ""lorirr"", ""ophirh10"", ""jech"", ""ragashe"", ""chihjung""]"
"7a05c5e2-1a79-47b3-af01-704d3532f7db","208532","summer","4:30:00 PM","6:20:00 PM","True","False","True","False","True","Shriram 104","liuamyj","Amy Liu","[""liuamyj""]"
"a1b54484-98b1-43f0-bd92-acd01283ed00","105641","fall","1:30:00 PM","2:20:00 PM","True","False","True","False","True","200-305","psyoung","Patrick Young","[""cliu02"", ""chloeb99"", ""khuang2"", ""jenjezwa"", ""psyoung""]"
"b942ab89-8592-4553-b4e2-fe5d8386a0e7","105641","spring","1:30:00 PM","2:20:00 PM","True","False","True","False","True","STLC 111","psyoung","Patrick Young","[""prushton"", ""psyoung""]"
"fcb523f8-a0bd-4ad2-9714-25a312ab0e96","105644","fall","12:30:00 PM","1:20:00 PM","True","False","True","False","True","Hewlett Teaching Center 200","nick","Nick Parlante","[""nick"", ""cornwall"", ""acoll3""]"
