id,course_id,quarter,start_date,end_date,start_time,end_time,monday,tuesday,wednesday,thursday,friday,location,primary_instructor,instructors
fc5682f9-5bb7-43e1-93fc-9b2e44baa81e,223487,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Skilling Auditorium,uun,"['uun', 'joshcho', 'swads', 'senyu', 'michcat', 'etalius', 'aselvara']"
2aa1b2aa-d479-4e6a-b446-535156483e2a,208511,Winter,"Jan 9, 2023","Mar 17, 2023",3:00:00 PM,4:20:00 PM,False,True,False,True,False,Hewlett Teaching Center 200,jurafsky,"['jurafsky', 'dslim', 'ahardy', 'neigbe', 'nikhar', 'lowbaj21', 'selinons', 'hylee719', 'dmbm0830', 'jenhe', 'angezhao', 'nguyenjd', 'mcxu2000', 'anoosh22', 'deveshi', 'awang23', 'tolu316']"
87ff1294-9d26-41c1-9d06-72185718783b,212763,Winter,"Jan 9, 2023","Mar 17, 2023",9:30:00 AM,10:50:00 AM,False,False,True,False,False,Hewlett Teaching Center 103,younes,"['ayn', 'younes', 'hassanf']"
4fca1560-07ce-4cf1-acf6-3ee163ba58da,214905,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,2:50:00 PM,False,True,False,True,False,McMurtry Art Building Oshman,agaidon,"['jniebles', 'amoore5', 'nguyenjd', 'anoosh22', 'aroram8', 'zhuoyih', 'anshk', 'agaidon']"
013dd9a4-dc1b-425a-a377-5055e2998c3f,225015,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,False,True,False,True,False,530-127,dmrussel,"['norvig', 'dmrussel']"
1c530ac7-82e6-4240-8a1d-78d5d3f428aa,219709,Winter,"Jan 9, 2023","Mar 17, 2023",5:30:00 PM,7:20:00 PM,False,True,False,True,False,Y2E2 111,engler,['engler']
780ebf2a-3ee1-463c-bcdb-f44510b97bf4,208516,Winter,"Jan 9, 2023","Mar 17, 2023",9:30:00 AM,10:20:00 AM,True,False,True,False,True,Gates B1,mendel,"['anhng', 'germans', 'nmailan', 'dstratak', 'kexuzhou', 'zidi', 'kpatt', 'mendel']"
ff52c426-ad96-444c-b51b-17722cb6df89,208516,Spring,"Apr 3, 2023","Jun 7, 2023",10:30:00 AM,11:20:00 AM,True,False,True,False,True,Skilling Auditorium,mendel,"['kmahmed', 'anhng', 'germans', 'dstratak', 'akavin', 'kpatt', 'mendel']"
a4f7d008-b0e8-4578-ae6d-78ea0823f3cc,105672,Spring,"Apr 3, 2023","Jun 7, 2023",10:30:00 AM,11:50:00 AM,False,True,False,True,False,Gates B1,kjolstad,"['owhsu', 'swads', 'tigu', 'rohany', 'elin24', 'kjolstad']"
a46b4415-d92b-4924-87ae-29b5e551af94,207524,Spring,"Apr 3, 2023","Jun 7, 2023",11:30:00 AM,12:20:00 PM,True,False,True,False,True,Skilling Auditorium,yhdeng,"['winstein', 'nkunjal', 'amontema', 'cdenicol', 'etalius', 'gyuan', 'icykip', 'yhdeng', 'carson']"
