"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"e233c42f-a330-4a39-96cf-227352f413d3","213160","fall","1:30:00 PM","2:50:00 PM","False","True","False","True","False","Departmental Room","jedmill","Jesse Miller","[""fukamit"", ""jedmill""]"
"64093813-afb0-4119-a31d-3c9c27d09a7c","104577","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","Thornton 102","rsiino","Rosanne Siino","[""rsiino"", ""alee99"", ""trevalyn"", ""zte""]"
"6e3924af-5d03-4472-b80c-fdadaf9cd4f8","104588","winter","3:00:00 PM","4:20:00 PM","True","False","True","False","True","Shriram 104","glynn","Peter Glynn","[""glynn""]"
"bb734d58-0e05-498a-96ac-590036ae2862","222276","fall","3:00:00 PM","4:20:00 PM","False","True","False","True","False","Lathrop 190","jordiggm","Jordi Graupera i Garcia-Mila","[""mrobins"", ""jordiggm""]"
"791e50ba-d519-4621-962e-c759553cff62","225008","spring","5:30:00 PM","7:20:00 PM","False","True","False","False","False","Departmental Room","mschaake","Marietje Schaake","[""mcfaul"", ""reich"", ""mschaake"", ""sluksic""]"
"637c6ba5-66de-4ab5-8ac9-b161a7151eb4","205418","spring","3:00:00 PM","4:20:00 PM","True","False","True","False","False","Gates B1","cgpotts","Christopher Potts","[""skaramch"", ""minalee"", ""kawin"", ""tz58"", ""xlisali"", ""cgpotts""]"
"4dfea485-1718-4f43-8487-4ea323b8037d","213463","fall","7:30:00 PM","10:20:00 PM","False","True","False","False","False","Cemex Auditorium","landy","Joshua Landy","[""dmg1"", ""dmg1"", ""jorahd"", ""pedroj"", ""emcooper"", ""emcooper"", ""phoebusc"", ""phoebusc"", ""ag12"", ""ag12"", ""lbenossi"", ""lbenossi"", ""landy""]"
"48c5298e-ab46-4117-9175-794b6bb11ca3","124478","spring","9:30:00 AM","11:20:00 AM","False","True","False","True","False","Ceras 108","ramirez","Francisco Ramirez","[""ramirez"", ""jsong423"", ""minjuc""]"
"ab7ee1af-2216-4603-ae1c-e95c3673937f","224313","spring","10:00:00 AM","3:00:00 PM","False","True","False","False","False","AGASSIZ 10 (Hopkins)","micheli","Fiorenza Micheli","[""deleo"", ""csmikles"", ""micheli""]"
"2deef77d-f701-4608-b38a-c32d2dffcc0a","220118","spring","9:30:00 AM","11:20:00 AM","False","True","False","True","False","200-303","burkerob","Burke Robinson","[""burkerob"", ""acruz23""]"
"2d4a92e3-5438-4d5c-8b86-8508c50143d4","122747","fall","9:00:00 AM","10:20:00 AM","False","True","False","True","False","60-109","bmistlbe","Bernhard Mistlberger","[""bmistlbe""]"
"7c2a0092-edbf-48f0-a0a2-dfa322d9f150","206909","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","200-002","mvjsoc","Michelle Jackson","[""nsheref"", ""mvjsoc""]"
"31276c3a-272b-41de-86f7-ce6c2996c97e","224045","spring","4:30:00 PM","6:20:00 PM","False","False","False","True","False","STLC 114","pedram78","Pedram Afshar","[""nargesb"", ""pedram78"", ""mdehaaff""]"
"74626834-3ae3-4522-814f-a41701d57dd9","205497","spring","1:30:00 PM","2:50:00 PM","True","False","True","False","False","McMurtry Art Building Oshman","ushaiyer","Usha Iyer","[""dholton"", ""jmakary"", ""ushaiyer""]"
"85a781ee-4a6f-460b-ac5f-1ae8afc5c058","221330","spring","9:30:00 AM","11:20:00 AM","True","False","True","False","False","320-109","lkfung","Lawrence Fung","[""lkfung""]"
"ce7f01a0-0976-4f2a-9a52-9798c1f27665","111866","spring","1:30:00 PM","4:50:00 PM","False","False","False","True","False","Jasper Ridge Hillside Lab","jramosh","Jorge Ramos","[""rdirzo"", ""jramosh"", ""bhodder"", ""ljfilgas""]"
"8453cf80-f786-408f-afaa-33415becbff4","210893","fall","9:00:00 AM","10:20:00 AM","False","True","False","True","False","Gilbert Biological Science 117","pauly","John Pauly","[""pauly""]"
"eac15bd4-214a-493b-ad58-4006269851f6","103469","spring","12:15:00 PM","4:20:00 PM","False","False","False","False","True","Y2E2 292A","fruchter","Renate Fruchter","[""fruchter""]"
"4cc6133a-d00e-489b-bd44-7cd8f85f8be7","208488","summer","8:30:00 AM","9:20:00 AM","False","True","False","True","False","AGASSIZ 10 (Hopkins)","elahi","Robin Elahi","[""elahi""]"
"f0ab9cda-ed5c-400a-be18-81c6b7770009","104814","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","550-200","ovijit","Ovijit Chaudhuri","[""ovijit"", ""schen09"", ""jndewitt"", ""ejprince"", ""clyako""]"
"2de56604-487d-47fc-aef6-d14bac1e3edb","220425","spring","10:30:00 AM","11:50:00 AM","False","True","False","True","False","160-127","bhgood","Benjamin Good","[""bhgood""]"
"47a70a2a-29c9-45be-bfdd-608932c1d5d8","117229","fall","9:30:00 AM","10:20:00 AM","True","False","True","False","True","60-109","taylor13","Christine Taylor","[""lindrew"", ""yhj"", ""taylor13""]"
"c91da4c0-2f15-4861-9116-622686d646d0","210886","winter","1:30:00 PM","2:50:00 PM","False","True","False","True","False","Huang Engineering Center 18","sxwang","Shan Wang","[""adlz"", ""sxwang""]"
"a5be973b-5532-4c5a-aefb-bf96ec2c909a","204253","summer","9:30:00 AM","11:20:00 AM","True","True","True","True","False","STLC 111","jvisser","Josh Visser","[""jvisser""]"
"89a3f731-29e2-40ef-8713-b6081861019a","224241","winter","10:30:00 AM","11:50:00 AM","False","True","False","False","False","Sequoia Hall 200","jbcremer","Jonas Cremer","[""jbcremer""]"
"a284fb58-1aee-4523-81e9-884ccd20a600","129198","fall","10:30:00 AM","12:20:00 PM","True","False","True","False","False","Mitchell Earth Sciences A65","mukerji","Tapan Mukerji","[""mukerji"", ""jhchung1""]"
"69d6297e-20f0-415c-8562-bd8298d840b5","105757","spring","3:00:00 PM","4:20:00 PM","True","False","True","False","False","Gates B3","engler","Dawson, Engler","[""uun"", ""zyedidia"", ""engler""]"
"9fc25206-1177-406a-baa3-6d078b3a9269","113472","winter","9:30:00 AM","11:20:00 AM","True","False","True","False","False","160-322","isegal","Ilya Segal","[""isegal""]"
"90f78de3-dbf4-4880-9289-a065e341b71c","224815","winter","4:30:00 PM","6:20:00 PM","False","True","False","True","False","Skilling 190","nnlee","Nicolas Lee","[""nnlee"", ""henkadsd"", ""xosgood"", ""hbuurmei""]"
"8cfc4b36-6ee3-4881-ac6f-334e664eb8c9","200829","fall","4:30:00 PM","5:50:00 PM","True","False","False","False","False","200-205","edwards1","Melanie Edwards","[""edwards1"", ""sav317"", ""samjames""]"
"22d29dbe-884d-4255-8046-0a1ffd041e08","113362","spring","1:30:00 PM","3:20:00 PM","True","False","True","False","False","200-030","kbagwell","Kyle Bagwell","[""kbagwell""]"
