"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"cb5bee6b-bee6-4d06-9961-8d8f7043d0d7","204650","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Hewlett Teaching Center 200","mbernst","Michael Bernstein","[""mbernst"", ""sannaali"", ""lsean"", ""luojen"", ""nfeffer"", ""vdoch""]"
"857a93dc-467a-4a80-af38-fd7282751546","218795","winter","4:15:00 PM","6:15:00 PM","True","False","False","False","False","LAW 280B","mattk16","Matt Kline","[""buzzt"", ""mattk16""]"
"e31134ee-be98-48be-af3e-aa35def01935","124042","spring","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Lathrop 190","russpold","Russell Poldrack","[""russpold""]"
"959076c2-85c9-4a82-8da4-4a7cb893531f","204161","spring","10:30:00 AM","11:20:00 AM","True","False","True","False","True","260-113","kschultz","Kenneth Schultz","[""kschultz"", ""dslate"", ""jhintson"", ""dtchaouc""]"
"4371c751-c7b4-476c-a85a-349e08de71ee","117257","fall","12:30:00 PM","1:20:00 PM","True","False","True","False","True","380-380C","zwickham","Zachary Wickham","[""mluciano"", ""zwickham"", ""sanchat""]"
"59785817-5d1f-4134-aca1-02b6f5168c05","203107","spring","9:00:00 AM","10:20:00 AM","False","True","False","True","False","Hewlett Teaching Center Rm 101","srabanti","Srabanti Chowdhury","[""jsharirs"", ""srabanti""]"
"37714ae5-7636-4888-85df-6461ec1d3544","200162","winter","9:00:00 AM","10:20:00 AM","False","True","False","True","False","Y2E2 101","arrigo","Kevin Arrigo","[""smlim"", ""arrigo""]"
"b3c59e6e-2d62-4003-bc72-139f8f4a90b3","223682","winter","2:30:00 PM","4:20:00 PM","False","False","False","False","True","Lathrop 180","lijiang","Li Jiang","[""lijiang""]"
"dca4ac17-c3b1-499b-bc96-00d5082fd0bf","120893","fall","9:30:00 AM","11:20:00 AM","True","False","True","False","False","460-126","bclevin","Beth Levin","[""bclevin""]"
"dbf00258-37c1-4c85-8e27-52bcb3dc0279","216204","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","Gates B1","rjohari","Ramesh Johari","[""ishadt"", ""yueyl"", ""yzou66"", ""ravisoji"", ""hanwu71"", ""wanqiaox"", ""rjohari""]"
"cfb60ef4-6f80-456e-8ebe-118fa6cee2f3","218904","spring","1:30:00 PM","4:20:00 PM","False","False","False","False","True","Ceras 108","ssmith11","Sanne Smith","[""mervecer"", ""ssmith11""]"
"6276ba17-5c5a-460b-a50a-dbfae12fffc3","122244","winter","3:00:00 PM","4:20:00 PM","True","False","True","False","False","370-370","icard","Thomas Icard","[""icard"", ""bassett"", ""bsparkes"", ""declan""]"
"aa4d0b4c-bb41-444e-b87d-ff04e4bd029c","201605","spring","11:30:00 AM","1:20:00 PM","False","False","False","False","True","STLC 118","rpam","Rick Pam","[""cabrera"", ""simchony"", ""smithzj"", ""rpam""]"
"c4ad76ab-4378-4c8b-8457-b7cfff5fb745","200412","fall","4:30:00 PM","6:20:00 PM","True","False","True","False","False","Shriram 104","law","Kincho Law","[""law""]"
"33d6cbf5-15a5-4070-964e-c9be6b7b3449","208356","fall","2:30:00 PM","3:20:00 PM","True","False","True","False","True","Gates B12","aleslieb","Andrew Leslie","[""seamusmc"", ""jalaswad"", ""hcolson"", ""aleslieb""]"
"710f8aff-2c6a-47c1-b8c2-92ed2a6ec5cb","201546","fall","12:00:00 PM","1:20:00 PM","False","True","False","True","False","370-370","ahaas1","Amie Haas","[""dboles"", ""ahaas1"", ""anjiecao"", ""kchi""]"
"aa2b206e-9f2c-4c74-84de-1569261c8cc8","124479","winter","1:30:00 PM","4:20:00 PM","False","False","True","False","False","McMurtry Art Building 350","triciam","Patricia Bromley","[""triciam"", ""rsalia""]"
"c78a499d-2d38-48ca-89e0-b69a009d2bb2","104585","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","200-203","sidford","Aaron Sidford","[""sidford"", ""agraur"", ""chunlin""]"
"893f3970-8843-40a0-bcb0-8cb4703fc1a5","111933","fall","10:30:00 AM","12:20:00 PM","True","False","True","False","False","STLC 115","suemcc","Susan McConnell","[""suemcc""]"
"a7e3e840-1d99-4152-8acf-480a597284a7","216403","fall","2:15:00 PM","3:45:00 PM","True","False","True","False","False","LAW 95","npersily","Nathaniel Persily","[""npersily"", ""nbauer""]"
"2e4fa8df-7cea-45cb-bef1-731171a9b808","224419","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","500-106","kconnor","Kimberley Connor","[""kconnor""]"
"fecb6a14-9880-49ff-a142-4bc5d4c05e68","202389","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","540-108","gwshin","Gi-Wook Shin","[""gwshin""]"
"33b5a8e6-262d-4862-9304-ec344a180c43","104255","spring","9:00:00 AM","10:20:00 AM","False","True","False","True","False","550-200","noh","Haeyoung Noh","[""noh"", ""mmarable"", ""atmiller"", ""iwbat21"", ""kayliew"", ""raefa""]"
"239f2bd7-ef34-4961-a6b9-0fd5a12418ba","216241","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","Y2E2 292A","ramr","Ram Rajagopal","[""ramr""]"
"ce8c41a9-618f-413b-acdb-393468fa5672","122303","spring","12:00:00 PM","1:20:00 PM","False","True","False","True","False","260-113","jsorourk","Joshua ORourke","[""pennl"", ""bsparkes"", ""mcguthry"", ""jsorourk""]"
"f235b94b-5125-48d7-9525-0c9038099f02","204034","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","False","260-113","landy","Joshua Landy","[""lmhobbs"", ""ikeren"", ""gdule"", ""peacocke"", ""landy""]"
"ee38e0ac-9a6a-446b-adc3-e6fc019866cc","103217","winter","9:00:00 AM","10:20:00 AM","False","True","False","True","False","McCullough 126","gracegao","Grace Gao","[""gracegao"", ""tymina""]"
"d9315302-88c5-426f-8525-26b0d5050d7f","223228","winter","4:30:00 PM","5:50:00 PM","True","False","True","False","False","160-124","nhaber","Nick Haber","[""nhaber"", ""ezelikma""]"
"3c6b828e-760f-4bf3-a1f5-a48e920ef60f","120811","fall","1:30:00 PM","2:50:00 PM","False","True","False","True","False","200-219","anttila","Arto Anttila","[""anttila""]"
"ed7d4826-7c4c-43f0-82b3-488d5c7c2bd8","103468","winter","12:15:00 PM","4:20:00 PM","False","False","False","False","True","Y2E2 292A","fruchter","Renate Fruchter","[""fruchter""]"
"0a0f004e-8414-4ec0-9b0c-ca5dbd6044ed","117430","winter","10:30:00 AM","11:50:00 AM","False","True","False","True","False","380-380D","papanico","George Papanicolaou","[""sdiaconu"", ""papanico""]"
"29125b86-237f-4c48-acfb-b0d9ee98a435","223901","spring","4:30:00 PM","6:20:00 PM","False","False","True","False","False","380-380C","amarats","Amara Smith","[""aholt"", ""amarats""]"
"2dd1454a-4bc4-40dc-9592-fbffe70e8a5d","224241","winter","10:30:00 AM","11:50:00 AM","False","True","False","False","False","Sequoia Hall 200","jbcremer","Jonas Cremer","[""jbcremer""]"
"5d417669-fd51-4159-b1c3-39dd32c9c51b","214972","fall","1:30:00 PM","2:50:00 PM","True","False","True","False","True","160-120","linder","Christian Linder","[""linder"", ""yitaoqiu"", ""abrari""]"
"98b33a22-3261-41e4-aa52-993f7c334eec","221585","spring","1:30:00 PM","2:50:00 PM","True","False","True","False","False","Y2E2 253","aditis2","Aditi Sheshadri","[""aditis2""]"
"6cab5d0b-161a-4143-bac5-64aaf3a825e6","113257","fall","1:30:00 PM","3:20:00 PM","True","False","True","False","False","420-041","klenow","Pete Klenow","[""klenow""]"
"878e6b39-c9a9-47bd-bce5-7b80abe5e8dc","213315","fall","12:00:00 PM","1:20:00 PM","False","True","False","True","False","200-203","gvardi","Gil-li Vardi","[""gvardi"", ""byeony"", ""mcalvob""]"
"952d9f9f-bb18-4997-8162-4ff5170e2397","222649","winter","11:30:00 AM","12:20:00 PM","True","False","True","False","False","380-380Y","swl1","Scott Linderman","[""swl1"", ""liusf19"", ""ying531""]"
"29f2c5b6-980c-498e-9b71-2089dc9b6f43","212663","summer","1:30:00 PM","5:15:00 PM","True","False","False","False","False","Lathrop 299","krosnick","Jon Krosnick","[""krosnick"", ""francis6""]"
"612a8288-6479-4863-ab07-d67f028d5e02","215853","winter","3:00:00 PM","4:20:00 PM","False","True","False","True","False","Y2E2 111","giesecke","Kay Giesecke","[""gzanotti"", ""giesecke""]"
"37ff9948-0798-49c8-be11-da6b0e8d064b","224508","spring","1:30:00 PM","2:50:00 PM","True","False","True","False","False","110-112","knguyen3","Kelly Nguyen","[""knguyen3""]"
"8b959515-12d4-48a1-90eb-25d73cef81f7","117289","summer","1:30:00 PM","3:15:00 PM","True","False","True","False","True","380-380W","genebkim","Gene Kim","[""genebkim""]"
"d8334497-149b-4eec-bbb9-1c9702507545","117022","winter","8:30:00 AM","10:20:00 AM","True","False","True","False","False","Lathrop 299","grosston","Gregory Rosston","[""grosston""]"
"6d9f3d1c-c8d5-4276-9d8c-a27489913646","122244","winter","3:00:00 PM","4:20:00 PM","True","False","True","False","False","370-370","icard","Thomas Icard","[""icard"", ""bassett"", ""bsparkes"", ""declan""]"
"973b0f08-cff1-41f6-914e-ad7ad710518a","104315","winter","8:30:00 AM","10:20:00 AM","False","True","False","True","False","200-002","lehung","Hung Le","[""lehung"", ""jluyang"", ""fathali"", ""ediller""]"
"6e4c4012-3758-44fc-a342-736f5acc1764","121749","winter","11:30:00 AM","1:20:00 PM","False","True","False","True","False","Braun 131","eulman","Erik Ulman","[""eulman""]"
